2025-10-26T21:08:30.255495964Z [err]      at async MessageQueueService.dequeue (file:///app/dist/index.js:2528:26)
2025-10-26T21:08:30.255504327Z [err]      at async MessageQueueService.processNext (file:///app/dist/index.js:2596:27)
2025-10-26T21:08:30.255512241Z [err]      at async Timeout._onTimeout (file:///app/dist/index.js:2586:13) {
2025-10-26T21:08:30.255519721Z [err]    length: 113,
2025-10-26T21:08:30.255527342Z [err]    severity: 'ERROR',
2025-10-26T21:08:30.255532399Z [err]    code: '42P01',
2025-10-26T21:08:30.255537116Z [err]    detail: undefined,
2025-10-26T21:08:35.249338669Z [err]  [MESSAGE-QUEUE] Processing error: error: relation "message_queue" does not exist
2025-10-26T21:08:35.249346586Z [err]    detail: undefined,
2025-10-26T21:08:35.249346646Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-10-26T21:08:35.249362039Z [err]    hint: undefined,
2025-10-26T21:08:35.249366593Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2025-10-26T21:08:35.249374219Z [err]    position: '131',
2025-10-26T21:08:35.249378200Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-10-26T21:08:35.249387370Z [err]    internalPosition: undefined,
2025-10-26T21:08:35.249388942Z [err]      at async MessageQueueService.dequeue (file:///app/dist/index.js:2528:26)
2025-10-26T21:08:35.249399401Z [err]    internalQuery: undefined,
2025-10-26T21:08:35.249402917Z [err]      at async MessageQueueService.processNext (file:///app/dist/index.js:2596:27)
2025-10-26T21:08:35.249408745Z [err]    where: undefined,
2025-10-26T21:08:35.249416760Z [err]      at async Timeout._onTimeout (file:///app/dist/index.js:2586:13) {
2025-10-26T21:08:35.249421259Z [err]    schema: undefined,
2025-10-26T21:08:35.249429311Z [err]    length: 113,
2025-10-26T21:08:35.249433974Z [err]    table: undefined,
2025-10-26T21:08:35.249438820Z [err]    severity: 'ERROR',
2025-10-26T21:08:35.249446994Z [err]    code: '42P01',
2025-10-26T21:08:35.249451636Z [err]    column: undefined,
2025-10-26T21:08:35.249459632Z [err]    dataType: undefined,
2025-10-26T21:08:35.249466458Z [err]    constraint: undefined,
2025-10-26T21:08:35.249472132Z [err]    file: 'parse_relation.c',
2025-10-26T21:08:35.249479237Z [err]    line: '1449',
2025-10-26T21:08:35.249486310Z [err]    routine: 'parserOpenTable'
2025-10-26T21:08:35.249492293Z [err]  }
2025-10-26T21:08:35.922782095Z [err]    message: 'relation "files" does not exist',
2025-10-26T21:08:35.922792447Z [err]    nextRetryIn: '16000ms'
2025-10-26T21:08:35.922800426Z [err]  }
2025-10-26T21:08:35.922816608Z [err]  ⚠️ Retry attempt 5/5 failed: {
2025-10-26T21:08:35.922824149Z [err]    code: '42P01',
